Authorization Number,Site City Name,Establishment Name,Manager Name,Initial Effective Date,Site Address Line 1,Site Address Line 2,Site Province Abbrev,Site Postal Code,Telephone Number,Online Sales
786378,EDMONTON,Cannabacee The Hemp House,"Sarpal, Nitin, Mgr
",5/8/2024,3016A 106 ST NW,,AB,T6J 5M5,7804689333.0,No 
809070,EDMONTON,Cannabacee The Hemp House,"Singh, Lovejeet, Mgr
",8/6/2025,15314 18 ST NW,,AB,T5Y 6C5,7802429093.0,No 
785312,EDMONTON,Cannabis 82,"Dhiman, Sahil, Mgr
",1/9/2024,8118 82 AVENUE NW,,AB,T6C 0Y4,7808020657.0,No 
783232,EDMONTON,Cannabis Cellar Callingwood,"Zimmerman, Douglas Harold, Mgr
",7/15/2021,6813 177 ST NW,,AB,T5T 4K3,7802443337.0,Yes
782237,EDMONTON,Cannabis Discounter,"Kaur, Amandeep, Mgr
",5/26/2021,3516 EWING TRAIL SW,,AB,T6X 2X6,7802445875.0,Yes
783726,EDMONTON,Cannabis Discounter,"Kaur, Amandeep, Mgr
",2/24/2022,3909 34 ST NW,,AB,T6T 1L5,7804406831.0,Yes
783725,EDMONTON,Cannabis Discounter,"Kaur, Amandeep, Mgr
",3/28/2022,17329 HILLER ROAD SW,,AB,T6W 4T4,8255123877.0,Yes
782037,EDMONTON,Cannabis Discounter,"Kaur, Amanpreet, Mgr
",12/16/2020,15150 127 ST NW,,AB,T6V 0C5,7802445884.0,Yes
783228,EDMONTON,Cannabis Discounter,"Kaur, Amandeep, Mgr
",8/25/2021,2063 111 ST NW,,AB,T6J 4V9,5875239833.0,Yes
782967,EDMONTON,Cannabis Discounter,"Kaur, Amandeep, Mgr
",6/24/2021,1470 MCCONACHIE BLVD NW,,AB,T5Y 3X2,7802505886.0,Yes
782479,EDMONTON,Cannabis Discounter,"Kaur, Amandeep, Mgr
",5/25/2021,11452 JASPER AVE NW,,AB,T5K 0M1,5875215884.0,Yes
808277,EDMONTON,Cannabis House,,5/9/2025,12743 VICTORIA  TRAIL NW,,AB,T5A 4T6,5874902861.0,No 
777962,EDMONTON,Cannabis House,"Kaur, Amandeep, Mgr
",10/17/2018,6560 170 AVE NW,,AB,T5Y 3X6,7807571174.0,Yes
778740,EDMONTON,Cannabis House,"Kaur, Amandeep, Mgr
",4/18/2019,16526 59A ST NW,,AB,T5Y 3S9,5875200432.0,Yes
782877,EDMONTON,Cannabis House,"Kaur, Amandeep, Mgr
",5/25/2021,4212 66 ST NW,,AB,T6K 4A2,7807605886.0,Yes
782240,EDMONTON,Cannabis House,"Kaur, Amandeep, Mgr
",4/15/2021,18320 LESSARD RD NW,,AB,T6M 2W8,7802505884.0,Yes
781849,EDMONTON,Cannabis House,"Kaur, Amandeep, Mgr
",2/8/2021,4-9977 178 STREET NW,,AB,T5T 6J6,5875245884.0,Yes
781841,EDMONTON,Cannabis House,"Kaur, Amandeep, Mgr
",11/2/2020,18920 87 AVE NW,,AB,T5T 6J1,7802505889.0,Yes
818583,EDMONTON,Cannabis House,"Kaur, Amandeep, Mgr
",3/12/2026,8157 99 ST NW,,AB,T6E 3S9,7807567809.0,Yes
781703,EDMONTON,Cannabis House,"Kaur, Amandeep, Mgr
",2/23/2021,10888 JASPER AVE NW,,AB,T5J 2B2,7807575889.0,Yes
781258,EDMONTON,Cannabis House,"Kaur, Amandeep, Mgr
",6/8/2020,3333 34 ST NW,,AB,T6T 2K6,7807582505.0,Yes
785249,EDMONTON,Cannabis House,"Kaur, Amandeep, Mgr
",5/12/2023,236-6655 178 ST NW,,AB,T5T 4J5,7807617071.0,Yes
782239,EDMONTON,Cannabis House,"Kaur, Amandeep, Mgr
",1/27/2021,16436 ELLERSLIE ROAD SW,,AB,T6W 4S8,5874895889.0,Yes
779238,EDMONTON,Cannabis House,"Kaur, Amandeep, Mgr
",4/18/2019,20-6964 76 AVE NW,,AB,T6B 2R2,5875202852.0,Yes
784323,EDMONTON,Cannabis Life,"Yisak, Yoseph Teklit, Mgr
",2/10/2023,9329 156 ST NW,,AB,T5R 1Z5,5874896432.0,No 
805259,EDMONTON,Cannabis Revolution,"Williams, Jeffrey Gerald, Mgr
",9/30/2024,8062 167 AVE NW,,AB,T5Z 0E5,7804065720.0,No 
785327,EDMONTON,Cannabis Spot,"Mehari, Mikias, Mgr
",7/5/2023,6914 77 ST NW,,AB,T6E 6V2,8252033697.0,No 
782548,EDMONTON,Cannabis Station,"Bouzetos, Angeliki, Mgr
",6/29/2021,187A-1 BONNIE DOON SHOPPING CENTRE NW,,AB,T6C 4E3,7807571148.0,No 
784533,EDMONTON,Cannabis World,"Baraich, Hardeep Singh, Mgr
",2/6/2023,3385 28A AVE NW,,AB,T6T 0P9,7807575515.0,No 
782499,EDMONTON,Crest Cannabis Castle,"Singh, Parminder, Mgr
",10/28/2021,101-3412 118 AVE NW,,AB,T5W 0Z4,7807054434.0,No 
783604,EDMONTON,Crown Cannabis,"Longowal, Sharronpreet Kaur, Mgr
",6/9/2022,8329 CHAPPELLE WAY SW,,AB,T6W 4S1,7807520049.0,No 
785369,EDMONTON,Crown Cannabis,"Longowal, Pritnam Singh, Mgr
",10/31/2023,11242 82 ST NW,,AB,T5B 2V3,7807523005.0,No 
780845,EDMONTON,Crown Cannabis,"Longowal, Pritnam Singh, Mgr
",9/16/2020,14608 50 ST NW,,AB,T5A 4W9,7807520899.0,No 
782488,EDMONTON,Crown Cannabis,"Longowal, Pritnam Singh, Mgr
",7/26/2023,102-10771 95 STREET NW,,AB,T5H 2C9,7807520065.0,No 
778729,EDMONTON,Crown Cannabis,"Longowal, Pritnam Singh, Mgr
",9/19/2019,9533 76 AVE NW,,AB,T6C 0K1,7807520888.0,No 
783029,EDMONTON,Crown Cannabis,"Longowal, Sharronpreet Kaur, Mgr
",1/13/2022,1515 50 STREET NW,,AB,T6L 7C9,8778319418.0,No 
784234,EDMONTON,Crown Cannabis,"Longowal, Sharronpreet Kaur, Mgr
",5/12/2023,3816 137 AVE NW,,AB,T5Y 3E7,7804737896.0,No 
810590,EDMONTON,Crown Cannabis,"Longowal, Pritnam Singh, Mgr
",8/26/2025,9020 50 ST NW,,AB,T6B 2Z5,8773963969.0,No 
783427,EDMONTON,Delta 9 Cannabis Store,"Arbuthnot, John William, Mgr
",8/31/2021,4512 118 AVE NW,,AB,T5W 1A9,7804777707.0,Yes
783426,EDMONTON,Delta 9 Cannabis Store,"Arbuthnot, John William, Mgr
",8/31/2021,12620F 132 AVE NW,,AB,T5L 3P9,7804542022.0,Yes
782865,EDMONTON,Doobie Cannabis,"Sogy, Sandeep Kumar, Mgr
",1/10/2023,5817 132 AVENUE NW,,AB,T5A 0J1,5877085669.0,Yes
784016,EDMONTON,Downtown 420,"Yu, Cheuk Ying, Mgr
",6/3/2022,1B-10020 JASPER AVE NW,,AB,T5J 1R2,7807611339.0,No 
784142,EDMONTON,Edmonton Cannabis & Edibles,"Sandhu, Sarabjit Singh, Mgr
",11/1/2022,3315 118 AVENUE NW,,AB,T5W 4X1,7807604050.0,Yes
784240,EDMONTON,Edmonton Cannabis & Edibles,"Sandhu, Sarabjit Singh, Mgr
",7/29/2022,10123 82 AVENUE NW,,AB,T6E 1Z5,7807524050.0,Yes
782779,EDMONTON,Elevate,"Vera, Joshua Andrew, Mgr
",8/23/2021,10604 105 AVE NW,,AB,T5H 0L2,7802509903.0,No 
778606,EDMONTON,Elevate,,11/1/2018,14454 118 AVE NW,,AB,T5L 2M5,5874604288.0,No 
778001,EDMONTON,Fire & Flower Cannabis Co.,"Mail, Eli Samuel, Mgr
",11/20/2019,4357 50 ST NW,,AB,T6L 7E8,5876352396.0,Yes
778030,EDMONTON,Fire & Flower Cannabis Co.,"Mail, Eli Samuel, Mgr
",10/17/2018,9610 165 AVE NW,,AB,T5Z 3L3,5876350207.0,Yes
782490,EDMONTON,Fire & Flower Cannabis Co.,"Mail, Eli Samuel, Mgr
",2/10/2021,2412 RABBIT HILL ROAD NW,,AB,T6R 3B5,7804300708.0,Yes
781625,EDMONTON,Fire & Flower Cannabis Co.,"Mail, Eli Samuel, Mgr
",6/11/2020,118-12222 137 AVE NW,,AB,T5L 4X5,5876353037.0,Yes
777987,EDMONTON,Fire & Flower Cannabis Co.,"Mail, Eli Samuel, Mgr
",4/18/2019,113-13710 42 ST NW,,AB,T5Y 2Z2,5876350211.0,Yes
778029,EDMONTON,Fire & Flower Cannabis Co.,"Mail, Eli Samuel, Mgr
",8/6/2019,122-9080 25 AVE SW,,AB,T6X 2H4,7807848756.0,Yes
777998,EDMONTON,Fire & Flower Cannabis Co.,"Mail, Eli Samuel, Mgr
",8/21/2019,10141 100A ST NW,,AB,T5J 0R5,5876350208.0,Yes
780786,EDMONTON,Fire & Flower Cannabis Co.,"Mail, Eli Samuel, Mgr
",11/22/2019,5844 TERRACE RD NW,,AB,T6A 3Y8,5876352398.0,Yes
781971,EDMONTON,Firestone Cannabis - 99,"Lojczyc, Brett Nathan, Mgr
",8/14/2020,9851 63 AVE NW,,AB,T6E 0G7,7802490960.0,No 
782161,EDMONTON,Flower Junction,"Arora, Rajesh, Mgr
",9/3/2021,5936 104 ST NW,,AB,T6H 2K3,7807578420.0,No 
784594,EDMONTON,Four20,"Wells, Misty, Mgr
",8/10/2022,10806 82 AVE NW,,AB,T6E 2B3,7806700160.0,Yes
783279,EDMONTON,FOUR20 Premium Market,"Pernal, Ryan Anthony, Mgr
",6/21/2021,155-5055 101 AVE NW,,AB,T6A 0G7,7804358300.0,Yes
781322,EDMONTON,FOUR20 Premium Market,"Morrow, Scott Andrew, Mgr
",2/25/2020,4-3749 17 STREET NW,,AB,T6T 1A7,7807330918.0,Yes
778694,EDMONTON,Ganja Hut,"Sharma, Raj Kumar, Mgr
",7/8/2019,C-7507 50 ST NW,,AB,T6B 2W8,7807619333.0,Yes
779607,EDMONTON,Glenora Cannabis,"Zimmerman, Douglas Harold, Mgr
",7/29/2019,12321 107 AVE NW,,AB,T5M 3R2,5875212999.0,Yes
816420,EDMONTON,Hey Bud Retail Cannabis,"Fuller, Dawna Marie, Mgr
",11/20/2025,5015 118 AVE NW,,AB,T5W 1B8,5874156371.0,No 
784468,EDMONTON,Hey Bud Retail Cannabis,"Fuller, Dawna Marie, Mgr
",2/28/2023,10311 103 AVENUE,,AB,T5J 0M3,7805400420.0,No 
783880,EDMONTON,Hey Bud Retail Cannabis,"Fuller, Dawna Marie, Mgr
",6/6/2022,15820 STONY PLAIN RD NW,,AB,T5P 3Z6,5875200958.0,No 
784035,EDMONTON,Hollybud Cannabis,"Pandher, Gurpreet Singh, Mgr
",9/26/2022,6004 184 ST NW,,AB,T6M 1X7,8254017000.0,No 
815214,EDMONTON,Hybrid Infusions,,12/15/2025,14849 124 AVE NW,,AB,T5L 3B2,8778132519.0,No 
301595,EDMONTON,Hybrid Infusions Ltd.,,6/10/2021,14849 124 AVE NW,,AB,T5L 3B2,8778132519.0,No 
784970,EDMONTON,Krave Cannabis,"Grewal, Gurpreet Kaur, Mgr
",9/13/2023,12614 118 AVE NW,,AB,T5L 2K8,7804551550.0,No 
784476,EDMONTON,Kurve Cannabis,"Dhaliwal, Ranjeet Singh, Mgr
",8/30/2022,8260 118 AVE NW,,AB,T5B 0S3,7804773076.0,No 
778680,EDMONTON,Kushi Cannabis,"Toor, Baltej Singh, Mgr
",2/21/2020,9442 149 STREET NW,,AB,T5R 1C6,5875238232.0,No 
784233,EDMONTON,Kushi Cannabis,"Toor, Serena Kaur, Mgr
",12/14/2022,382 SADDLEBACK RD NW,,AB,T6J 4R7,5875244200.0,No 
782001,EDMONTON,Lakewood Cannabis,"Villanueva-Hlad, Scott, Mgr
",1/25/2021,1525 LAKEWOOD ROAD WEST  NW,,AB,T6K 3S4,5878553242.0,Yes
301738,EDMONTON,Laniakea Brands,,3/11/2022,11627 163 ST NW,,AB,T5M 3W6,7804970971.0,No 
301840,EDMONTON,Leisure Club,,12/8/2022,9461 49 ST NW,,AB,T6B 2L8,7806903541.0,No 
805636,EDMONTON,Lucid Cannabis,"Mail, Eli Samuel, Mgr
",8/21/2024,4355 167 AVE NW,,AB,T5Y 3Y2,7802445578.0,Yes
805634,EDMONTON,Lucid Cannabis,"Mail, Eli Samuel, Mgr
",8/21/2024,B-15211 111 AVE NW,,AB,T5M 2R1,5875245434.0,Yes
805637,EDMONTON,Lucid Cannabis,"Mail, Eli Samuel, Mgr
",8/21/2024,6613 177 STREET,,AB,T5T 4K3,5875252545.0,Yes
805646,EDMONTON,Lucid Cannabis,"Mail, Eli Samuel, Mgr
",8/21/2024,991 TAMARACK WAY NW,,AB,T6T 0N3,8255124742.0,Yes
819783,EDMONTON,Lux Leaf Cannabis - Glenridding,"Seelen, Kale Joseph Alexander, Mgr
",2/10/2026,16781 RABBIT HILL RD SW,,AB,T6W 5A3,5876351528.0,No 
819776,EDMONTON,Lux Leaf Cannabis - Heritage,"Seelen, Kale Joseph Alexander, Mgr
",2/10/2026,10946 23 AVE NW,,AB,T6J 7J9,5874632011.0,No 
819775,EDMONTON,Lux Leaf Cannabis - SouthPark,"Seelen, Kale Joseph Alexander, Mgr
",2/10/2026,3908 GATEWAY BLVD NW,,AB,T6J 7A9,7804501990.0,No 
781775,EDMONTON,Mind-Full,"Hollingsworth, Norman Arthur, Mgr
",10/8/2020,10430 118 AVE NW,,AB,T5G 0P7,7807053250.0,Yes
783674,EDMONTON,Mountain Standard Cannabis,"Martel, Curtis John, Mgr
",12/9/2021,6626 127 AVE NW,,AB,T5C 1P9,7804578730.0,No 
781561,EDMONTON,Mountain Standard Cannabis,"Martel, Curtis John, Mgr
",5/4/2020,13124 82 ST NW,,AB,T5E 2T5,7805408814.0,No 
780585,EDMONTON,Mountain Standard Cannabis,"Martel, Curtis John, Mgr
",12/12/2019,9729 118 AVE NW,,AB,T5G 0P4,7805408283.0,No 
802966,EDMONTON,New Life Canna Ltd.,"Raposo, Robert Francis, Mgr
",6/7/2024,14033 156 ST NW,,AB,T6V 1J1,7809013294.0,No 
783349,EDMONTON,Nspire Cannabis Inc.,"Toor, Naunihal Singh, Mgr
",9/16/2022,3-5010 76 AVE NW,,AB,T6B 0A6,7802600050.0,No 
780947,EDMONTON,NUMO Cannabis,"Nguyen, Daniel Wayne, Mgr
",6/11/2020,1109-10235 124 ST NW,,AB,T5N 1P9,7807528881.0,Yes
782849,EDMONTON,Numo Cannabis,"Nguyen, Daniel Wayne, Mgr
",6/2/2021,13656 137 AVE NW,,AB,T5L 5G6,7805060888.0,Yes
780715,EDMONTON,NUMO Cannabis,"Nguyen, Daniel Wayne, Mgr
",11/25/2019,10765 97 ST NW,,AB,T5H 2M2,7807528882.0,Yes
784436,EDMONTON,NUMO Cannabis Central,"Nguyen, Daniel Wayne, Mgr
",9/19/2022,1-10502 107 AVE NW,,AB,T5H 0W2,7807607878.0,Yes
777920,EDMONTON,Numo Cannabis Corp.,"Nguyen, Daniel Wayne, Mgr
",10/17/2018,11733 95 ST NW,,AB,T5G 1M1,7807058885.0,Yes
301585,EDMONTON,Partake Cannabis Inc.,,4/29/2021,9336 37 AVE NW,,AB,T6E 5K3,7804503407.0,No 
783750,EDMONTON,Planet Hollyweed,"Pannu, Navamarbir Singh, Mgr
",6/1/2022,831 DANIELS WAY SW,,AB,T6W 4T5,5872009974.0,No 
808551,EDMONTON,Plant Life,"Scott, Ian Hardie, Mgr
",2/10/2025,21526 92 AVE NW,,AB,T5T 7W2,8254045405.0,No 
783712,EDMONTON,Plantlife,"Scott, Ian Hardie, Mgr
",2/3/2022,5229 167 AVE NW,,AB,T5Y 0L2,7807601897.0,Yes
780993,EDMONTON,Plantlife,"Scott, Ian Hardie, Mgr
",9/10/2019,14130 28 AVE SW,,AB,T6W 3Y9,5874141199.0,No 
784136,EDMONTON,Plantlife,"Scott, Ian Hardie, Mgr
",6/29/2022,10328 103 ST NW,,AB,T5J 0Y9,7804900256.0,Yes
785346,EDMONTON,Plantlife,"Scott, Ian Hardie, Mgr
",6/23/2023,17324 HILLER RD SW,,AB,T6W 4H3,5874904699.0,No 
784171,EDMONTON,Plantlife,,6/10/2022,6639 25 AVE SW,,AB,T6X 2Z3,7806131826.0,No 
781098,EDMONTON,Plantlife,"Scott, Ian Hardie, Mgr
",6/15/2020,104-2217 101 ST NW,,AB,T6N 0B8,5875234433.0,Yes
781038,EDMONTON,Plantlife,"Scott, Ian Hardie, Mgr
",11/1/2019,9776-9530 170 STREET NW,,AB,T5T 5L9,7804440152.0,Yes
781093,EDMONTON,Plantlife,"Scott, Ian Hardie, Mgr
",11/1/2019,10185 186 ST NW,,AB,T5S 0G5,7804540537.0,No 
782144,EDMONTON,Plantlife,"Scott, Ian Hardie, Mgr
",3/9/2021,12920 167 AVE NW,,AB,T6V 1J6,7807602992.0,Yes
782711,EDMONTON,Plantlife,"Scott, Ian Hardie, Mgr
",7/7/2021,5245 ELLERSLIE RD SW,,AB,T6X 1X2,7805401984.0,Yes
781357,EDMONTON,Plantlife,"Scott, Ian Hardie, Mgr
",6/23/2020,6115 CURRENTS DR NW,,AB,T6W 2Z4,5875234405.0,No 
780573,EDMONTON,Plantlife,"Scott, Ian Hardie, Mgr
",9/30/2020,1309 WINDERMERE WAY SW,,AB,T6W 2P3,7807586185.0,No 
783351,EDMONTON,Pluto Cannabis,"Zhu, Tianyu, Mgr
",5/12/2022,106-10104 111 AVE NW,,AB,T5G 0B3,7807588802.0,Yes
783994,EDMONTON,Pop's Cannabis,"Arbuthnot, John William, Mgr
",3/31/2022,256 MANNING CROSS NW UNIT A106-2,,AB,T5A 5A1,7802502520.0,Yes
783992,EDMONTON,Pop's Cannabis,"Arbuthnot, John William, Mgr
",3/31/2022,12751 50 ST NW,,AB,T5A 4L8,5875236999.0,Yes
783990,EDMONTON,Pop's Cannabis (WEST),"Arbuthnot, John William, Mgr
",3/31/2022,12988 50 ST NW,,AB,T5A 4L2,7804063862.0,Yes
783997,EDMONTON,Pop's Cannabis (WEST),"Arbuthnot, John William, Mgr
",3/31/2022,12918 82 ST NW,,AB,T5E 2T2,7805403399.0,Yes
783996,EDMONTON,Pop's Cannabis (WEST),"Arbuthnot, John William, Mgr
",3/31/2022,14147 127 ST NW,,AB,T6V 1E7,7807579968.0,Yes
783983,EDMONTON,Pop's Cannabis (WEST),"Arbuthnot, John William, Mgr
",3/31/2022,13712 113A ST NW,,AB,T5X 4H7,5875237546.0,Yes
784075,EDMONTON,Pop's Cannabis (WEST),"Arbuthnot, John William, Mgr
",3/31/2022,17042 90 AVE NW,,AB,T5T 1L6,5875236997.0,Yes
783985,EDMONTON,Pop's Cannabis (WEST),"Arbuthnot, John William, Mgr
",3/31/2022,12950 97 STREET NW,,AB,T5E 4C3,5875237045.0,Yes
783995,EDMONTON,Pop's Cannabis (WEST),"Arbuthnot, John William, Mgr
",3/31/2022,13210 118 AVE NW,,AB,T5L 4N4,7805403875.0,Yes
783984,EDMONTON,Pop's Cannabis (WEST),"Arbuthnot, John William, Mgr
",3/31/2022,10404 68 AVE NW,,AB,T6H 2A9,5875236967.0,Yes
782883,EDMONTON,Select Cannabis,"Nguyen, Andrew, Mgr
",5/4/2021,10124 149 ST NW,,AB,T5P 1L1,7807522282.0,Yes
785145,EDMONTON,Select Cannabis,"Nguyen, Tom, Mgr
",6/13/2023,8924 118 AVENUE NW,,AB,T5B 0T6,7802495800.0,Yes
782563,EDMONTON,Select Cannabis,"Nguyen, Duy Thomas, Mgr
",5/19/2021,13546 97 ST NW,,AB,T5E 4E2,7805402837.0,Yes
801494,EDMONTON,Select Cannabis,"Nguyen, Duy Thomas, Mgr
",4/1/2026,10A-8103 127 AVE NW,,AB,T5C 1R9,5875211555.0,Yes
781636,EDMONTON,Smokey's,"Gill, JD, Mgr
",10/14/2020,5017 22 AVE SW,,AB,T6X 2N4,7804400911.0,Yes
778064,EDMONTON,Smokey's,"Gill, JD, Mgr
",7/29/2019,7223 101 AVE NW,,AB,T6A 0H9,7804402912.0,Yes
781797,EDMONTON,Smokey's,"Gill, JD, Mgr
",11/10/2020,2366 23 AVE NW,,AB,T6T 0R1,7805402280.0,Yes
778026,EDMONTON,Spiritleaf - Heritage Links,"Power, Paul William, Mgr
",7/22/2019,103-10903 23 AVE NW,,AB,T6J 1X3,7807525323.0,No 
782440,EDMONTON,Spiritleaf - MacEwan,"Power, Paul, Mgr
",4/14/2021,11156 ELLERSLIE RD SW,,AB,T6W 1A2,7802443213.0,No 
814461,EDMONTON,Spiritleaf - Whyte Ave,"Sanderson, Grant Leigh, Mgr
",10/2/2025,10134 82 AVE NW,,AB,T6E 1Z4,5875203710.0,No 
817054,EDMONTON,Spiritleaf Gateway,"Odishaw, Michelle Lee Anne, Mgr
",1/12/2026,4211 CALGARY TRAIL NW,,AB,T6J 5P4,5876353893.0,No 
782323,EDMONTON,The Cannabis Cellar,"Zimmerman, Douglas Harold, Mgr
",5/6/2021,11639A JASPER AVE NW LOWER GROUND FLOOR,,AB,T5K 0M9,5875247374.0,Yes
777921,EDMONTON,The Local Cannabist,"McPherson, James Andrew, Mgr
",7/29/2019,B1-14727 87 AVE NW,,AB,T5R 4E5,7804849333.0,Yes
301613,EDMONTON,Token Naturals Ltd.,,7/22/2021,12526 126 AVENUE NW,,AB,T5L 3C7,7809188422.0,No 
785517,EDMONTON,T's Cannabis,"Mahal, Baljinder Kaur, Mgr
",7/21/2023,12303A 118 AVE NW,,AB,T5L 2K2,7807613831.0,Yes
812605,EDMONTON,T's Cannabis,"Mahal, Baljinder Kaur, Mgr
",8/21/2025,5233 TERWILLEGAR BLVD NW,,AB,T6R 0C5,7804692115.0,No 
808422,EDMONTON,URBN Leaf Cannabis Company Clareview,"Ruether, Craig Thomas, Mgr
",11/29/2024,14053 VICTORIA TRAIL NW,,AB,T5Y 2B6,5874981237.0,No 
814462,EDMONTON,Value Buds - Garneau,"Sanderson, Grant Leigh, Mgr
",10/3/2025,8211 111 ST NW,,AB,T6G 2V1,7805408146.0,No 
814008,EDMONTON,Value Buds - Manning,"Sanderson, Grant Leigh, Mgr
",11/20/2025,3634 153 AVE NW,,AB,T5Y 0S5,5874896861.0,No 
814465,EDMONTON,Value Buds - Oxford Park,"Sanderson, Grant Leigh, Mgr
",10/2/2025,15274 127 ST NW,,AB,T6V 0C5,5876354280.0,No 
814463,EDMONTON,Value Buds - Sherbrooke,"Sanderson, Grant Leigh, Mgr
",10/2/2025,11835 ST ALBERT TRAIL NW,,AB,T5L 5B5,5876353524.0,No 
783761,EDMONTON,Value Buds at 112th Street,"Sanderson, Grant Leigh, Mgr
",4/8/2022,10387 112 ST NW,,AB,T5K 1M9,5875201076.0,No 
786375,EDMONTON,Value Buds at Belmont Town,"Sanderson, Grant Leigh, Mgr
",7/4/2024,13524 VICTORIA TRAIL NW,,AB,T5A 5C9,5874015614.0,No 
778143,EDMONTON,Value Buds at Chappelle Commons,"Sanderson, Grant Leigh, Mgr
",12/3/2019,14143 28 AVE SW,,AB,T6W 4H2,5874545772.0,No 
781564,EDMONTON,Value Buds at Griesbach,"Sanderson, Grant Leigh, Mgr
",6/12/2020,106-9910 137 AVE NW,,AB,T5E 6W1,7802442527.0,No 
783245,EDMONTON,Value Buds at Hamptons,"Sanderson, Grant Leigh, Mgr
",6/15/2021,19908 LESSARD RD NW,,AB,T6M 0T9,5875231427.0,No 
784452,EDMONTON,Value Buds at Heritage Valley,"Sanderson, Grant Leigh, Mgr
",11/3/2022,2706 JAMES MOWATT TRAIL SW,,AB,T6W 3R3,5874979822.0,No 
778142,EDMONTON,Value buds at Jasper Ave & 121 Street,"Sanderson, Grant Leigh, Mgr
",12/4/2019,B-12120 JASPER AVE NW,,AB,T5N 3J8,7807577175.0,No 
778732,EDMONTON,Value Buds at Jasper Gates,"Sanderson, Grant Leigh, Mgr
",12/3/2019,14971 STONY PLAIN RD NW,,AB,T5P 4W1,7807607175.0,No 
780925,EDMONTON,Value Buds at Mayfield Common,"Sanderson, Grant Leigh, Mgr
",12/3/2019,120 MAYFIELD COMMON NW,,AB,T5P 4B3,7802502465.0,No 
782422,EDMONTON,Value Buds at Meyokumin,"Sanderson, Grant Leigh, Mgr
",9/3/2021,5619 23 AVE NW,,AB,T6L 7B9,7804404218.0,No 
778135,EDMONTON,Value Buds at Namao,"Sanderson, Grant Leigh, Mgr
",10/17/2018,16616 95 ST NW,,AB,T5Z 3L2,7807607600.0,No 
783128,EDMONTON,Value Buds at NW Landing,"Sanderson, Grant Leigh, Mgr
",5/27/2021,737 MISTATIM WAY,,AB,T6V 0M8,7807529771.0,No 
