Establishment Name,Address,website,phone,rating,review_count,email
Canna Cabana,29-240 MIDPARK WAY SE,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235,100avegp@cannacabana.com
Canna Cabana,11032A ELBOW DRIVE SW,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235,100avegp@cannacabana.com
Canna Cabana,610-20 CROWFOOT CRES NW,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235,100avegp@cannacabana.com
Canna Cabana,144-55 CASTLERIDGE BLVD NE,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235,100avegp@cannacabana.com
Canna Cabana,1535 19 ST NW,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235,100avegp@cannacabana.com
Canna Cabana,21-2500 4 ST SW,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235,100avegp@cannacabana.com
Canna Cabana,9-2015 32 AVE NE,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235,100avegp@cannacabana.com
Canna Cabana,18-13750 BOW BOTTOM TRAIL SE,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235,100avegp@cannacabana.com
Canna Cabana,28-20 DOUGLAS WOODS DR SE,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235,100avegp@cannacabana.com
Canna Cabana,130-296 SHAWVILLE BLVD SE,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235,100avegp@cannacabana.com
Canna Cabana,110-3725 RUNDLEHORN DR NE,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235,100avegp@cannacabana.com
Canna Cabana,250-3630 BRENTWOOD RD NW,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235,100avegp@cannacabana.com
Canna Cabana,110-1935 37 ST SW,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235,100avegp@cannacabana.com
Canna Cabana,101-624 8 AVE SE,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235,100avegp@cannacabana.com
Canna Cabana,2719 14 ST SW,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235,100avegp@cannacabana.com
Canna Cabana,130-11130 11 ST NE,https://cannacabana.com/pages/store/calgary-silverado,(403) 455-0997,4.3,235,100avegp@cannacabana.com
Cannabis Leaf,1-4623 BOW TRAIL SW,http://www.cannabisleafyyc.com/,(403) 457-2053,4.5,137,cannabisleafyycbowtrail@gmail.com
Celestial Buds,166-6800 MEMORIAL DRIVE NE,https://houseofsmokeandmirrors.com/,(403) 271-0998,4.4,25,Smoke-and-Mirrors-v1.26-PNG-1@3x.png
Cloud 420,124-11125 38 ST NE,http://www.cloud420inc.ca/,(587) 620-9761,4.8,83,nzls420@gmail.com
Cloud 620,120-630 REDSTONE DR NE,https://www.cloud620cannabis.ca/,(587) 483-7147,3.8,66,Hdhillon312@hotmail.ca
Cloud-520,120-180 LEGACY MAIN ST SE,https://www.cloud520cannabis.ca/,(403) 750-4002,4.1,31,Hdhillon312@hotmail.ca
Fire & Flower Cannabis Co.,1560-6004 COUNTRY HILLS BOULEVARD NE,https://fireandflower.com/shop/169100?redirect=%2Fshop,(587) 482-9835,4.5,206,info@spark-rewards.com
FivePoint Cannabis 1st St.,1318 1 ST SW,https://www.fivepointcannabis.ca/,(825) 540-1318,4.8,59,contact@fivepointcannabis.ca
FivePoint Cannabis Bridgeland,945 GENERAL AVE NE,http://www.fivepointcannabis.ca/,(403) 690-3636,4.9,197,contact@fivepointcannabis.ca
Global Leaf,3-728 NORTHMOUNT DR NW,http://www.globalleaf.ca/,(825) 910-9333,4.4,223,globalleafcannabis@gmail.com
Global Leaf,106-5401 TEMPLE DR NE,http://www.globalleaf.ca/,(825) 910-9333,4.4,223,globalleafcannabis@gmail.com
Green Guidance Cannabis Agency,1190 EVANSTON DR NW,https://www.gsyyc.ca/,(587) 890-7768,4.9,99,info@greenspotcanada.com
Greenlife Cannabis,6-3304 64 ST NE,http://www.greenlifecannabisyyc.com/,(403) 568-2104,4.0,19,glcannabisyyc@gmail.com
Greenspot Shop,7523 MACLEOD TRAIL SW,https://www.gsyyc.ca/,(587) 890-7768,4.9,99,info@greenspotcanada.com
High Tide Inc.,112-11127 15 ST NE,https://shop.recordhigh.ca/menu/record-high-cannabis/,(403) 453-1916,4.8,160,1dd9fbcda276456dac2cbcde74340923@sentry.io
Highland Buds,118 40 AVE NW,http://www.highlandbuds.ca/,(587) 291-9717,4.7,140,Info@highlandbuds.ca
Highland Buds,26-5010 4 ST NE,http://www.highlandbuds.ca/,(587) 291-9717,4.7,140,Info@highlandbuds.ca
Kindling Cannabis 4th St,37 4 ST NE,https://shopkindling.ca/locations/alberta/calgary-4th-st-ne?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=calgary-4th-st-ne,(403) 453-5780,5.0,12,4thstreet@shopkindling.ca
Leaf Life,103-1331 MACLEOD TRAIL SE,http://www.leaflifecannabis.ca/,(587) 315-0344,4.4,48,advesadevops@gmail.com
Leaf Life,10109 HIDDEN VALLEY DR NW,http://www.leaflifecannabis.ca/,(587) 315-0344,4.4,48,advesadevops@gmail.com
Leaf Life,310-11877 SARCEE TRAIL NW,http://www.leaflifecannabis.ca/,(587) 315-0344,4.4,48,advesadevops@gmail.com
Leaf Life,101-2230 68 STREET NE,http://www.leaflifecannabis.ca/,(587) 315-0344,4.4,48,advesadevops@gmail.com
Leaf Life,110-560 69 AVE SW,http://www.leaflifecannabis.ca/,(587) 315-0344,4.4,48,advesadevops@gmail.com
Leaf Life,1343 NORTHMOUNT DR NW,http://www.leaflifecannabis.ca/,(587) 315-0344,4.4,48,advesadevops@gmail.com
Leaf Life,175C 52 ST SE,http://www.leaflifecannabis.ca/,(587) 315-0344,4.4,48,advesadevops@gmail.com
Leaf Life,12-3181 32 ST NE,http://www.leaflifecannabis.ca/,(587) 315-0344,4.4,48,advesadevops@gmail.com
Leafy Green Inc,4170-235 RED EMBERS WAY NE,https://leafygreendispensaryinc.ca/,(403) 226-8808,4.4,28,Hdhillon312@hotmail.ca
Lux Leaf Cannabis,234-177 COUNTRY HILLS BOULEVARD NW,https://shop.luxleaf.ca/calgary-panorama-hills/category/flower,(587) 351-3992,4.7,208,info@luxleaf.com
Lux Leaf Cannabis - Nolan Hill,232-8 NOLAN HILL BLVD NW,https://shop.luxleaf.ca/calgary-nolan-hill/category/flower,(587) 353-7063,4.8,91,info@luxleaf.com
Lux Leaf Cannabis - Savanna,1130-30 SAVANNA CRES NE,https://shop.luxleaf.ca/calgary-savanna/category/flower,(587) 231-6632,4.8,208,info@luxleaf.com
Lux Leaf Cannabis - Taradale,312B-7171 80 AVE NE,https://shop.luxleaf.ca/calgary-taradale/category/flower,(403) 453-7063,4.7,196,info@luxleaf.com
MH4 Cannabis,2705A CENTRE STREET NW,http://www.mhcannabis.net/,(587) 349-3277,4.9,162,mhcannabis2705@gmail.com
Mount Kushmore,329 11 AVE NE,http://mtkushmore.ca/,(403) 717-1233,4.9,285,Mt-Kushmore-Logo_285x@2x.png
Northside Growco Inc,1338A 36 AVE NE,https://www.cloud520cannabis.ca/,(403) 750-4002,4.1,31,Hdhillon312@hotmail.ca
Ogden Cannabis,2130 GLENMORE CRT SE,http://www.ogdencannabis.ca/,(587) 352-2448,4.8,120,ogdencanna@gmail.com
Omkara Cannabis,220-500 ROYAL OAK DR NW,https://omkaracannabis.com/royal-oak-dr/,(587) 226-1680,4.5,63,Info@omkaracannabis.com
Prairie Records,219A 8 AVE SW,https://prairierecords.ca/shop/347183?redirect=%2Fshop,(403) 764-5795,4.4,212,info@spark-rewards.com
Prairie Records,4420D 17 AVENUE SE,https://prairierecords.ca/shop/347183?redirect=%2Fshop,(403) 764-5795,4.4,212,info@spark-rewards.com
RARE Cannabis Co.,2929 RICHMOND RD SW,http://www.rarecannabis.ca/,(403) 474-6018,4.8,303,RARE_PLANTS_RED@2x-1-scaled.jpg
Record High,1907 20 AVE NW,https://shop.recordhigh.ca/menu/record-high-cannabis/,(403) 453-1916,4.8,160,1dd9fbcda276456dac2cbcde74340923@sentry.io
Route 1 Purchasing & Distribution Inc.,4610 80 STREET NW,http://www.rarecannabis.ca/,(403) 474-6018,4.8,303,RARE_PLANTS_RED@2x-1-scaled.jpg
Smoke and Mirrors,2083 146 AVE SE,https://houseofsmokeandmirrors.com/,(403) 271-0998,4.6,9,Smoke-and-Mirrors-v1.26-PNG-1@3x.png
Spiritleaf,117-45 GREENBRIAR LANE NW,https://spiritleaf.ca/locations/township/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing&utm_content=township,(587) 956-7708,4.6,64,township@spiritleaf.ca
Spiritleaf - Evanston,1006-2060 SYMONS VALLEY PARKWAY NW,https://spiritleaf.ca/locations/evanston/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing&utm_content=evanston,(403) 475-3495,4.5,83,evanston@spiritleaf.ca
Spiritleaf - Millrise,3149-150 MILLRISE BOULEVARD SW,https://spiritleaf.ca/locations/millrise/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing&utm_content=millrise,(587) 352-8252,4.8,102,millrise@spiritleaf.ca
Spiritleaf - Savanna,402-9036 46 ST NE,https://spiritleaf.ca/locations/savanna/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing&utm_content=savanna,(587) 352-6261,5.0,40,savanna@spiritleaf.ca
Spiritleaf - Seton,325-19587 SETON CRES SE,https://spiritleaf.ca/locations/seton/,(825) 407-9238,4.7,79,high@spiritleaf.ca
Spiritleaf - Stonegate,408-2550 COUNTRY HILLS BLVD NE,https://spiritleaf.ca/locations/township/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing&utm_content=township,(587) 956-7708,4.6,64,township@spiritleaf.ca
Spiritleaf - Township,110-20 LONGVIEW COMMON SE,https://spiritleaf.ca/locations/township/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing&utm_content=township,(587) 956-7708,4.6,64,township@spiritleaf.ca
Spiritleaf Centre Street,4-1020 CENTRE STREET NORTH,https://spiritleaf.ca/locations/centre-street/,(403) 452-8797,4.6,65,centrestreet@spiritleaf.ca
The Moon Cannabis,105-3003 37 ST SW,http://themooncannabis.ca/,(825) 540-1898,4.9,120,8c4075d5481d476e945486754f783364@sentry.io
Tumblweedz,116-2323 32 AVE NE,http://tumblweedz.ca/,(587) 391-8299,4.8,86,kaffendev@gmail.com
Upstairs Cannabis,902 11 AVE SE,https://www.upstairscannabis.com/,(825) 431-3357,4.9,83,info@upstairscannabis.com
Westleaf Labs LP,710-530 8 AVENUE SW,https://decibelcc.com/westleaf-cannabis-old/,,0.0,0,info@decibelcc.com
