Authorization Number,Site City Name,Establishment Name,Manager Name,Initial Effective Date,Site Address Line 1,Site Address Line 2,Site Province Abbrev,Site Postal Code,Telephone Number,Online Sales,rating,review_count,business_status,lat,lng
783604,EDMONTON,Crown Cannabis,"Longowal, Sharronpreet Kaur, Mgr
",6/9/2022,8329 CHAPPELLE WAY SW,,AB,T6W 4S1,7807520049.0,No ,4.8,164,OPERATIONAL,53.3964197,-113.5942901
783427,EDMONTON,Delta 9 Cannabis Store,"Arbuthnot, John William, Mgr
",8/31/2021,4512 118 AVE NW,,AB,T5W 1A9,7804777707.0,Yes,4.1,172,OPERATIONAL,53.5707043,-113.4116564
782865,EDMONTON,Doobie Cannabis,"Sogy, Sandeep Kumar, Mgr
",1/10/2023,5817 132 AVENUE NW,,AB,T5A 0J1,5877085669.0,Yes,4.8,263,OPERATIONAL,53.5920399,-113.43154
784016,EDMONTON,Downtown 420,"Yu, Cheuk Ying, Mgr
",6/3/2022,1B-10020 JASPER AVE NW,,AB,T5J 1R2,7807611339.0,No ,3.9,19,OPERATIONAL,53.54127,-113.49129
784142,EDMONTON,Edmonton Cannabis & Edibles,"Sandhu, Sarabjit Singh, Mgr
",11/1/2022,3315 118 AVENUE NW,,AB,T5W 4X1,7807604050.0,Yes,3.8,45,OPERATIONAL,53.569964,-113.392177
782779,EDMONTON,Elevate,"Vera, Joshua Andrew, Mgr
",8/23/2021,10604 105 AVE NW,,AB,T5H 0L2,7802509903.0,No ,4.8,147,OPERATIONAL,53.5480829,-113.5035113
778001,EDMONTON,Fire & Flower Cannabis Co.,"Mail, Eli Samuel, Mgr
",11/20/2019,4357 50 ST NW,,AB,T6L 7E8,5876352396.0,Yes,4.3,555,OPERATIONAL,53.4816706,-113.4170412
781971,EDMONTON,Firestone Cannabis - 99,"Lojczyc, Brett Nathan, Mgr
",8/14/2020,9851 63 AVE NW,,AB,T6E 0G7,7802490960.0,No ,4.0,71,OPERATIONAL,53.4994386,-113.485536
782161,EDMONTON,Flower Junction,"Arora, Rajesh, Mgr
",9/3/2021,5936 104 ST NW,,AB,T6H 2K3,7807578420.0,No ,3.8,59,OPERATIONAL,53.4970328,-113.498169
784594,EDMONTON,Four20,"Wells, Misty, Mgr
",8/10/2022,10806 82 AVE NW,,AB,T6E 2B3,7806700160.0,Yes,4.0,61,OPERATIONAL,53.5183048,-113.5098327
783279,EDMONTON,FOUR20 Premium Market,"Pernal, Ryan Anthony, Mgr
",6/21/2021,155-5055 101 AVE NW,,AB,T6A 0G7,7804358300.0,Yes,4.4,129,OPERATIONAL,53.539007,-113.4228164
778694,EDMONTON,Ganja Hut,"Sharma, Raj Kumar, Mgr
",7/8/2019,C-7507 50 ST NW,,AB,T6B 2W8,7807619333.0,Yes,4.3,62,OPERATIONAL,53.5111317,-113.4177469
779607,EDMONTON,Glenora Cannabis,"Zimmerman, Douglas Harold, Mgr
",7/29/2019,12321 107 AVE NW,,AB,T5M 3R2,5875212999.0,Yes,4.5,152,OPERATIONAL,53.5507871,-113.535399
816420,EDMONTON,Hey Bud Retail Cannabis,"Fuller, Dawna Marie, Mgr
",11/20/2025,5015 118 AVE NW,,AB,T5W 1B8,5874156371.0,No ,4.2,21,OPERATIONAL,53.57005909999999,-113.4188832
784035,EDMONTON,Hollybud Cannabis,"Pandher, Gurpreet Singh, Mgr
",9/26/2022,6004 184 ST NW,,AB,T6M 1X7,8254017000.0,No ,4.9,109,OPERATIONAL,53.4945247,-113.6405699
815214,EDMONTON,Hybrid Infusions,,12/15/2025,14849 124 AVE NW,,AB,T5L 3B2,8778132519.0,No ,5.0,24,OPERATIONAL,53.5783559,-113.5769499
301595,EDMONTON,Hybrid Infusions Ltd.,,6/10/2021,14849 124 AVE NW,,AB,T5L 3B2,8778132519.0,No ,3.8,44,OPERATIONAL,53.5783559,-113.5769499
784970,EDMONTON,Krave Cannabis,"Grewal, Gurpreet Kaur, Mgr
",9/13/2023,12614 118 AVE NW,,AB,T5L 2K8,7804551550.0,No ,5.0,133,OPERATIONAL,53.57058809999999,-113.5402782
784476,EDMONTON,Kurve Cannabis,"Dhaliwal, Ranjeet Singh, Mgr
",8/30/2022,8260 118 AVE NW,,AB,T5B 0S3,7804773076.0,No ,4.6,154,OPERATIONAL,53.5704983,-113.4689294
778680,EDMONTON,Kushi Cannabis,"Toor, Baltej Singh, Mgr
",2/21/2020,9442 149 STREET NW,,AB,T5R 1C6,5875238232.0,No ,4.5,71,OPERATIONAL,53.53114559999999,-113.578558
782001,EDMONTON,Lakewood Cannabis,"Villanueva-Hlad, Scott, Mgr
",1/25/2021,1525 LAKEWOOD ROAD WEST  NW,,AB,T6K 3S4,5878553242.0,Yes,4.4,61,OPERATIONAL,53.4581826,-113.4610419
301738,EDMONTON,Laniakea Brands,,3/11/2022,11627 163 ST NW,,AB,T5M 3W6,7804970971.0,No ,5.0,94,OPERATIONAL,53.5679467,-113.600905
301840,EDMONTON,Leisure Club,,12/8/2022,9461 49 ST NW,,AB,T6B 2L8,7806903541.0,No ,3.8,45,OPERATIONAL,53.5351358,-113.4137187
805636,EDMONTON,Lucid Cannabis,"Mail, Eli Samuel, Mgr
",8/21/2024,4355 167 AVE NW,,AB,T5Y 3Y2,7802445578.0,Yes,4.7,77,OPERATIONAL,53.6277745,-113.4072929
819783,EDMONTON,Lux Leaf Cannabis - Glenridding,"Seelen, Kale Joseph Alexander, Mgr
",2/10/2026,16781 RABBIT HILL RD SW,,AB,T6W 5A3,5876351528.0,No ,4.9,100,OPERATIONAL,53.40933339999999,-113.6120061
819776,EDMONTON,Lux Leaf Cannabis - Heritage,"Seelen, Kale Joseph Alexander, Mgr
",2/10/2026,10946 23 AVE NW,,AB,T6J 7J9,5874632011.0,No ,4.9,447,OPERATIONAL,53.4554539,-113.5118126
819775,EDMONTON,Lux Leaf Cannabis - SouthPark,"Seelen, Kale Joseph Alexander, Mgr
",2/10/2026,3908 GATEWAY BLVD NW,,AB,T6J 7A9,7804501990.0,No ,4.9,467,OPERATIONAL,53.47401660000001,-113.4929359
781775,EDMONTON,Mind-Full,"Hollingsworth, Norman Arthur, Mgr
",10/8/2020,10430 118 AVE NW,,AB,T5G 0P7,7807053250.0,Yes,4.4,57,OPERATIONAL,53.5704781,-113.5008515
783674,EDMONTON,Mountain Standard Cannabis,"Martel, Curtis John, Mgr
",12/9/2021,6626 127 AVE NW,,AB,T5C 1P9,7804578730.0,No ,3.9,120,OPERATIONAL,53.5852063,-113.4440146
802966,EDMONTON,New Life Canna Ltd.,"Raposo, Robert Francis, Mgr
",6/7/2024,14033 156 ST NW,,AB,T6V 1J1,7809013294.0,No ,4.8,239,OPERATIONAL,53.6021942,-113.5877795
783349,EDMONTON,Nspire Cannabis Inc.,"Toor, Naunihal Singh, Mgr
",9/16/2022,3-5010 76 AVE NW,,AB,T6B 0A6,7802600050.0,No ,4.9,46,OPERATIONAL,53.5127684,-113.4193114
780947,EDMONTON,NUMO Cannabis,"Nguyen, Daniel Wayne, Mgr
",6/11/2020,1109-10235 124 ST NW,,AB,T5N 1P9,7807528881.0,Yes,4.5,569,OPERATIONAL,53.54402169999999,-113.5354496
782849,EDMONTON,Numo Cannabis,"Nguyen, Daniel Wayne, Mgr
",6/2/2021,13656 137 AVE NW,,AB,T5L 5G6,7805060888.0,Yes,4.5,569,OPERATIONAL,53.6005719,-113.5585721
784436,EDMONTON,NUMO Cannabis Central,"Nguyen, Daniel Wayne, Mgr
",9/19/2022,1-10502 107 AVE NW,,AB,T5H 0W2,7807607878.0,Yes,4.6,61,OPERATIONAL,53.5515568,-113.5013058
777920,EDMONTON,Numo Cannabis Corp.,"Nguyen, Daniel Wayne, Mgr
",10/17/2018,11733 95 ST NW,,AB,T5G 1M1,7807058885.0,Yes,4.5,569,OPERATIONAL,53.5696422,-113.486964
301585,EDMONTON,Partake Cannabis Inc.,,4/29/2021,9336 37 AVE NW,,AB,T6E 5K3,7804503407.0,No ,0.0,0,,53.47254359999999,-113.4749313
783750,EDMONTON,Planet Hollyweed,"Pannu, Navamarbir Singh, Mgr
",6/1/2022,831 DANIELS WAY SW,,AB,T6W 4T5,5872009974.0,No ,4.4,88,OPERATIONAL,53.3987711,-113.5427769
808551,EDMONTON,Plant Life,"Scott, Ian Hardie, Mgr
",2/10/2025,21526 92 AVE NW,,AB,T5T 7W2,8254045405.0,No ,4.8,239,OPERATIONAL,53.5278485,-113.6893184
783712,EDMONTON,Plantlife,"Scott, Ian Hardie, Mgr
",2/3/2022,5229 167 AVE NW,,AB,T5Y 0L2,7807601897.0,Yes,4.8,239,OPERATIONAL,53.6274206,-113.4156811
783351,EDMONTON,Pluto Cannabis,"Zhu, Tianyu, Mgr
",5/12/2022,106-10104 111 AVE NW,,AB,T5G 0B3,7807588802.0,Yes,4.6,92,OPERATIONAL,53.55905,-113.494
783994,EDMONTON,Pop's Cannabis,"Arbuthnot, John William, Mgr
",3/31/2022,256 MANNING CROSS NW UNIT A106-2,,AB,T5A 5A1,7802502520.0,Yes,4.4,154,OPERATIONAL,53.60092849999999,-113.4237621
783990,EDMONTON,Pop's Cannabis (WEST),"Arbuthnot, John William, Mgr
",3/31/2022,12988 50 ST NW,,AB,T5A 4L2,7804063862.0,Yes,4.4,154,OPERATIONAL,53.5890619,-113.4192297
782883,EDMONTON,Select Cannabis,"Nguyen, Andrew, Mgr
",5/4/2021,10124 149 ST NW,,AB,T5P 1L1,7807522282.0,Yes,4.9,513,OPERATIONAL,53.5424199,-113.5785585
781636,EDMONTON,Smokey's,"Gill, JD, Mgr
",10/14/2020,5017 22 AVE SW,,AB,T6X 2N4,7804400911.0,Yes,4.6,234,OPERATIONAL,53.4137833,-113.4193435
778026,EDMONTON,Spiritleaf - Heritage Links,"Power, Paul William, Mgr
",7/22/2019,103-10903 23 AVE NW,,AB,T6J 1X3,7807525323.0,No ,4.5,391,OPERATIONAL,53.45349299999999,-113.5094697
782440,EDMONTON,Spiritleaf - MacEwan,"Power, Paul, Mgr
",4/14/2021,11156 ELLERSLIE RD SW,,AB,T6W 1A2,7802443213.0,No ,4.7,244,OPERATIONAL,53.4263318,-113.5189231
814461,EDMONTON,Spiritleaf - Whyte Ave,"Sanderson, Grant Leigh, Mgr
",10/2/2025,10134 82 AVE NW,,AB,T6E 1Z4,5875203710.0,No ,4.4,164,OPERATIONAL,53.5183232,-113.4923521
817054,EDMONTON,Spiritleaf Gateway,"Odishaw, Michelle Lee Anne, Mgr
",1/12/2026,4211 CALGARY TRAIL NW,,AB,T6J 5P4,5876353893.0,No ,4.5,182,OPERATIONAL,53.47879469999999,-113.4939063
782323,EDMONTON,The Cannabis Cellar,"Zimmerman, Douglas Harold, Mgr
",5/6/2021,11639A JASPER AVE NW LOWER GROUND FLOOR,,AB,T5K 0M9,5875247374.0,Yes,4.6,36,OPERATIONAL,53.5407248,-113.5223314
777921,EDMONTON,The Local Cannabist,"McPherson, James Andrew, Mgr
",7/29/2019,B1-14727 87 AVE NW,,AB,T5R 4E5,7804849333.0,Yes,4.6,142,OPERATIONAL,53.51913750000001,-113.5772583
301613,EDMONTON,Token Naturals Ltd.,,7/22/2021,12526 126 AVENUE NW,,AB,T5L 3C7,7809188422.0,No ,4.8,67,OPERATIONAL,53.5833464,-113.5382536
785517,EDMONTON,T's Cannabis,"Mahal, Baljinder Kaur, Mgr
",7/21/2023,12303A 118 AVE NW,,AB,T5L 2K2,7807613831.0,Yes,3.8,51,OPERATIONAL,53.5700864,-113.5344558
808422,EDMONTON,URBN Leaf Cannabis Company Clareview,"Ruether, Craig Thomas, Mgr
",11/29/2024,14053 VICTORIA TRAIL NW,,AB,T5Y 2B6,5874981237.0,No ,4.2,72,OPERATIONAL,53.6029259,-113.3839257
814462,EDMONTON,Value Buds - Garneau,"Sanderson, Grant Leigh, Mgr
",10/3/2025,8211 111 ST NW,,AB,T6G 2V1,7805408146.0,No ,3.8,92,OPERATIONAL,53.5184812,-113.5172308
814008,EDMONTON,Value Buds - Manning,"Sanderson, Grant Leigh, Mgr
",11/20/2025,3634 153 AVE NW,,AB,T5Y 0S5,5874896861.0,No ,4.4,16,OPERATIONAL,53.6147319,-113.3989144
814465,EDMONTON,Value Buds - Oxford Park,"Sanderson, Grant Leigh, Mgr
",10/2/2025,15274 127 ST NW,,AB,T6V 0C5,5876354280.0,No ,4.1,76,OPERATIONAL,53.6165934,-113.5424507
814463,EDMONTON,Value Buds - Sherbrooke,"Sanderson, Grant Leigh, Mgr
",10/2/2025,11835 ST ALBERT TRAIL NW,,AB,T5L 5B5,5876353524.0,No ,4.2,38,OPERATIONAL,53.57118999999999,-113.5487885
783761,EDMONTON,Value Buds at 112th Street,"Sanderson, Grant Leigh, Mgr
",4/8/2022,10387 112 ST NW,,AB,T5K 1M9,5875201076.0,No ,3.9,128,OPERATIONAL,53.5458152,-113.5133664
786375,EDMONTON,Value Buds at Belmont Town,"Sanderson, Grant Leigh, Mgr
",7/4/2024,13524 VICTORIA TRAIL NW,,AB,T5A 5C9,5874015614.0,No ,4.2,61,OPERATIONAL,53.597787,-113.3870519
778143,EDMONTON,Value Buds at Chappelle Commons,"Sanderson, Grant Leigh, Mgr
",12/3/2019,14143 28 AVE SW,,AB,T6W 4H2,5874545772.0,No ,4.0,110,OPERATIONAL,53.4092035,-113.5671702
781564,EDMONTON,Value Buds at Griesbach,"Sanderson, Grant Leigh, Mgr
",6/12/2020,106-9910 137 AVE NW,,AB,T5E 6W1,7802442527.0,No ,4.4,203,OPERATIONAL,53.6006465,-113.4950511
783245,EDMONTON,Value Buds at Hamptons,"Sanderson, Grant Leigh, Mgr
",6/15/2021,19908 LESSARD RD NW,,AB,T6M 0T9,5875231427.0,No ,3.9,147,OPERATIONAL,53.4781246,-113.6722301
784452,EDMONTON,Value Buds at Heritage Valley,"Sanderson, Grant Leigh, Mgr
",11/3/2022,2706 JAMES MOWATT TRAIL SW,,AB,T6W 3R3,5874979822.0,No ,3.2,43,OPERATIONAL,53.4068716,-113.5361216
778142,EDMONTON,Value buds at Jasper Ave & 121 Street,"Sanderson, Grant Leigh, Mgr
",12/4/2019,B-12120 JASPER AVE NW,,AB,T5N 3J8,7807577175.0,No ,4.2,159,OPERATIONAL,53.5412826,-113.5317167
778732,EDMONTON,Value Buds at Jasper Gates,"Sanderson, Grant Leigh, Mgr
",12/3/2019,14971 STONY PLAIN RD NW,,AB,T5P 4W1,7807607175.0,No ,4.0,176,OPERATIONAL,53.5395491,-113.5786982
780925,EDMONTON,Value Buds at Mayfield Common,"Sanderson, Grant Leigh, Mgr
",12/3/2019,120 MAYFIELD COMMON NW,,AB,T5P 4B3,7802502465.0,No ,4.3,208,OPERATIONAL,53.5438434,-113.6137771
782422,EDMONTON,Value Buds at Meyokumin,"Sanderson, Grant Leigh, Mgr
",9/3/2021,5619 23 AVE NW,,AB,T6L 7B9,7804404218.0,No ,3.9,133,OPERATIONAL,53.4532371,-113.4265217
778135,EDMONTON,Value Buds at Namao,"Sanderson, Grant Leigh, Mgr
",10/17/2018,16616 95 ST NW,,AB,T5Z 3L2,7807607600.0,No ,4.2,467,OPERATIONAL,53.628087,-113.4876204
783128,EDMONTON,Value Buds at NW Landing,"Sanderson, Grant Leigh, Mgr
",5/27/2021,737 MISTATIM WAY,,AB,T6V 0M8,7807529771.0,No ,4.4,122,OPERATIONAL,53.6032326,-113.5795721
779305,EDMONTON,Value Buds at Off Whyte,"Sanderson, Grant Leigh, Mgr
",10/17/2018,B-8015 104 ST NW,,AB,T6E 4E3,7804397540.0,No ,3.8,565,OPERATIONAL,53.5163946,-113.4964833
781884,EDMONTON,Value Buds at Rabbit Hill Road,"Sanderson, Grant Leigh, Mgr
",10/22/2020,5035 MULLEN RD NW,,AB,T6R 0S9,8255123840.0,No ,4.1,76,OPERATIONAL,53.4342578,-113.575439
778145,EDMONTON,Value Buds at Riverbend Square,"Sanderson, Grant Leigh, Mgr
",11/15/2019,548 RIVERBEND SQ NW,,AB,T6R 2E3,7807522931.0,No ,3.9,93,OPERATIONAL,53.468281,-113.5874725
782293,EDMONTON,Value Buds at Summerside,"Sanderson, Grant Leigh, Mgr
",4/21/2021,936 91 ST SW,,AB,T6X 0P2,5875247322.0,No ,4.3,86,OPERATIONAL,53.4241981,-113.4763202
778433,EDMONTON,Value Buds at the Meadows,"Sanderson, Grant Leigh, Mgr
",4/18/2019,1938 38 AVE NW,,AB,T6T 0B9,7804633564.0,No ,3.9,156,OPERATIONAL,53.4788975,-113.3732653
809633,EDMONTON,Value Buds at West Granville,"Sanderson, Grant Leigh, Mgr
",2/2/2026,7127 WINTERBURN RD NW,,AB,T5T 4K2,7807847433.0,No ,4.1,17,OPERATIONAL,53.50568860000001,-113.6879158
803168,EDMONTON,Viridis Cannabis,"Garneau, Nathaniel Lucien Francis, Mgr
",6/12/2025,17912 107 AVE NW,,AB,T5S 1J1,5874884515.0,No ,5.0,2,CLOSED_PERMANENTLY,53.5535459,-113.6295375
782592,EDMONTON,Wake N' Bake Cannabis,"Aggarwal, Amit, Mgr
",10/5/2021,6609 99 ST NW,,AB,T6E 3P7,7807619253.0,No ,4.8,100,OPERATIONAL,53.5031916,-113.4857058
