Authorization Number,Site City Name,Establishment Name,Manager Name,Initial Effective Date,Site Address Line 1,Site Address Line 2,Site Province Abbrev,Site Postal Code,Telephone Number,Online Sales,rating,review_count,business_status,lat,lng
817305,CALGARY,Canna Cabana,"Wheeler, Ethan James, Mgr
",11/10/2025,45-2525 BRIDLECREST WAY SW,,AB,T2Y 5J4,8255406963.0,Yes,4.3,235,OPERATIONAL,50.9011284,-114.1180361
783163,CALGARY,Cannabis Leaf,"Bassi, Charandeep, Mgr
",12/1/2021,1-4623 BOW TRAIL SW,,AB,T3C 2G6,4039737781.0,No ,4.5,137,OPERATIONAL,51.0484172,-114.1529242
778108,CALGARY,Celestial Buds,"Dhaliwal, Monica, Mgr
",1/25/2019,166-6800 MEMORIAL DRIVE NE,,AB,T2A 6V3,5874968711.0,Yes,4.4,25,OPERATIONAL,51.0530298,-113.9361638
817225,CALGARY,Chinook Cannabis,"Baer, Casey Jay, Mgr
",3/25/2026,4818 16 ST SW,,AB,T2T 4J5,5873634372.0,Yes,4.9,79,OPERATIONAL,51.01088379999999,-114.0999038
783303,CALGARY,Cloud 420,"Islam, Shakeel Chouhdary, Mgr
",8/31/2021,124-11125 38 ST NE,,AB,T3N 1P3,5876209761.0,No ,4.8,83,OPERATIONAL,51.1527252,-113.9787979
781051,CALGARY,Cloud 620,"Dhillon, Harvinder Kaur, Mgr
",3/17/2020,120-630 REDSTONE DR NE,,AB,T3N 1L4,5874837147.0,No ,3.8,66,OPERATIONAL,51.1686823,-113.950602
780860,CALGARY,Cloud-520,"Dhillon, Harvinder Kaur, Mgr
",4/12/2021,120-180 LEGACY MAIN ST SE,,AB,T2X 4R9,4037504002.0,No ,4.1,31,OPERATIONAL,50.86174140000001,-114.0253767
778958,CALGARY,Co-op Cannabis,"Nicholas, Michael John, Mgr
",10/17/2018,7-8720 MACLEOD TRAIL SE,,AB,T2H 0M4,4034522285.0,Yes,4.8,8,OPERATIONAL,50.97562019999999,-114.0700759
783491,CALGARY,Co-op Cannabis - Beddington,"Nicholas, Michael John, Mgr
",11/19/2021,160-8220 CENTRE ST NE,,AB,T3K 1J7,4034571943.0,Yes,3.9,54,OPERATIONAL,51.1256046,-114.0708096
784069,CALGARY,Co-op Cannabis - Oakridge,"Nicholas, Michael John, Mgr
",8/10/2022,110-125 OAKMOOR PLAZA SW,,AB,T2V 4R9,4032994030.0,Yes,3.6,25,OPERATIONAL,50.9622372,-114.1219593
779549,CALGARY,Co-op Cannabis- Brentwood,"Nicholas, Michael John, Mgr
",7/8/2019,B-4122 BRENTWOOD RD NW,,AB,T2L 1K8,4034522560.0,Yes,4.0,52,OPERATIONAL,51.0878653,-114.1310225
779546,CALGARY,Co-op Cannabis- Crowfoot,"Nicholas, Michael John, Mgr
",12/5/2019,41 CROWFOOT WAY NW,,AB,T3G 2L4,4034539127.0,Yes,3.6,41,OPERATIONAL,51.1236904,-114.2010906
779548,CALGARY,Co-op Cannabis- Dalhousie,"Nicholas, Michael John, Mgr
",7/22/2019,B-5505 SHAGANAPPI TRAIL NW,,AB,T3A 1Z6,4032994028.0,Yes,4.4,40,OPERATIONAL,51.1024608,-114.1466386
779545,CALGARY,Co-op Cannabis- Shawnessy,"Nicholas, Michael John, Mgr
",1/6/2021,100B-250 SHAWVILLE BLVD SE,,AB,T2Y 2Z7,4034559894.0,Yes,3.4,29,OPERATIONAL,50.9026383,-114.0639976
778956,CALGARY,Co-op Cannabis-Forest Lawn,"Nicholas, Michael John, Mgr
",7/15/2019,5-3330 17 AVE SE,,AB,T2A 0P9,4032994024.0,Yes,3.5,45,OPERATIONAL,51.038725,-113.9883682
778947,CALGARY,Co-op Cannabis-Hamptons,"Nicholas, Michael John, Mgr
",11/18/2020,614-1000 HAMPTONS DR NW,,AB,T3A 6A7,4034553132.0,Yes,4.2,28,CLOSED_PERMANENTLY,51.1414752,-114.1302411
778955,CALGARY,Co-op Cannabis-Richmond Road,"Nicholas, Michael John, Mgr
",7/22/2019,4938 RICHMOND RD SW,,AB,T3E 6K4,4032994026.0,Yes,4.2,14,OPERATIONAL,51.018998,-114.158914
815620,CALGARY,Cost Cannabis,"Sanderson, Grant Leigh, Mgr
",1/6/2026,100-5253 RICHMOND RD SW,,AB,T3E 7C4,4038001109.0,No ,3.7,34,OPERATIONAL,51.01750699999999,-114.161313
815843,CALGARY,Dank Cannabis,"Kumar, Priyanka, Mgr
",2/9/2026,175-45 CARRINGTON BLVD NW,,AB,T3P 1K8,5873333397.0,Yes,4.9,351,OPERATIONAL,51.1828861,-114.0752203
778758,CALGARY,Eastwood,"Ware-Lane, Daryl, Mgr
",11/22/2019,10-6222 36 ST SE,,AB,T2C 3J4,4032570605.0,Yes,4.9,83,OPERATIONAL,50.9985662,-113.9803176
780784,CALGARY,Fire & Flower Cannabis Co.,"Mail, Eli Samuel, Mgr
",12/18/2019,1560-6004 COUNTRY HILLS BOULEVARD NE,,AB,T3N 1T8,5874829835.0,Yes,4.5,206,OPERATIONAL,51.15467590000001,-113.9501372
785938,CALGARY,FivePoint Cannabis 1st St.,"Jenkins, Alena Riane, Mgr
",9/19/2023,1318 1 ST SW,,AB,T2R 0V7,8255401318.0,No ,4.8,59,OPERATIONAL,51.0399628,-114.0657276
778172,CALGARY,FivePoint Cannabis Bridgeland,"Jenkins, Alena Riane, Mgr
",7/2/2019,945 GENERAL AVE NE,,AB,T2E 9E1,4036903636.0,No ,4.9,197,OPERATIONAL,51.052975,-114.0407904
803937,CALGARY,Flamingo+ Cannabis Trinity Hills,"Joyce, Tristan Alexander, Mgr
",11/1/2024,420 NA'A COMMON SW,,AB,T3B 5V6,4034930780.0,Yes,5.0,107,OPERATIONAL,51.0821326,-114.2074078
784761,CALGARY,FOUR20,"Morrow, Scott Andrew, Mgr
",10/26/2022,101-1022 17 AVE SW,,AB,T2T 0A5,5874419420.0,Yes,4.5,157,OPERATIONAL,51.0380439,-114.085659
785330,CALGARY,Four20,"Morrow, Scott Andrew, Mgr
",3/29/2023,120-6008 MACLEOD TRAIL SW,,AB,T2H 0K1,5873290539.0,Yes,4.5,157,OPERATIONAL,50.9995634,-114.0707021
783844,CALGARY,FOUR20 Premium Market,"Morrow, Scott Andrew, Mgr
",11/29/2021,3-2008 33 AVE SW,,AB,T2T 1Z4,5873290539.0,Yes,4.4,194,OPERATIONAL,51.02414539999999,-114.1072315
784305,CALGARY,Global Leaf,"Birk, Rajinder Singh, Mgr
",9/30/2022,3-728 NORTHMOUNT DR NW,,AB,T2K 3K2,4039917529.0,No ,4.4,223,OPERATIONAL,51.0824649,-114.0922582
783666,CALGARY,Gramsterdam,"Saini, Rajpal Kaur, Mgr
",2/23/2022,14-5700 FALSBRIDGE DRIVE NE,,AB,T3J 4X5,5876175400.0,Yes,4.8,256,OPERATIONAL,51.0987713,-113.9547565
807751,CALGARY,Green Guidance Cannabis Agency,,11/27/2024,1190 EVANSTON DR NW,,AB,T3P 0J9,4038138139.0,No ,4.9,99,OPERATIONAL,51.1784545,-114.1063501
781674,CALGARY,Green Panda Cannabis,"Dhillon, Harvinder Kaur, Mgr
",4/26/2021,130-60 BOWRIDGE DR NW,,AB,T3B 2T9,4032865210.0,No ,3.5,41,OPERATIONAL,51.0843363,-114.2059025
782179,CALGARY,Greenlife Cannabis,"Kim, Dowon, Mgr
",8/5/2021,6-3304 64 ST NE,,AB,T1Y 5R4,4035682104.0,Yes,4.0,19,OPERATIONAL,51.0820896,-113.9403418
779351,CALGARY,Greenspot Shop,"Bergman, Darrick, Mgr
",12/9/2019,7523 MACLEOD TRAIL SW,,AB,T2H 0L8,4034004887.0,Yes,4.9,99,OPERATIONAL,50.9863978,-114.0724373
800853,CALGARY,High Tide Inc.,,7/30/2024,112-11127 15 ST NE,,AB,T3K 2M4,5878898892.0,No ,4.8,160,OPERATIONAL,51.1529967,-114.0258005
782148,CALGARY,Highland Buds,"Huh, Jacob Namsun, Mgr
",5/28/2021,118 40 AVE NW,,AB,T2K 0E3,5872919717.0,Yes,4.7,140,OPERATIONAL,51.0889388,-114.0636013
785755,CALGARY,In N Out Cannabis Discounter,"Toor, Rajpal, Mgr
",1/29/2024,B-2604 KENSINGTON RD NW,,AB,T2N 3S5,3068803362.0,Yes,4.5,35,OPERATIONAL,51.0527721,-114.1205858
814567,CALGARY,Kindling Cannabis 4th St,"Howlett, Daniel Matthew, Mgr
",1/7/2026,37 4 ST NE,,AB,T2E 3R6,4034535780.0,Yes,5.0,12,OPERATIONAL,51.0523141,-114.0519678
785876,CALGARY,Kozmic Kush Cannabis,"Mohammad, Shafiq, Mgr
",9/5/2023,18-430 ACADIA DR SE,,AB,T2J 0B2,5873522400.0,No ,3.4,98,OPERATIONAL,50.9698338,-114.0479422
782241,CALGARY,Lake City Cannabis,"Roch, Ryan Eduard, Mgr
",4/28/2021,6-22 RICHARD WAY SW,,AB,T3E 7M9,4037644205.0,Yes,4.9,201,OPERATIONAL,51.0070223,-114.1302542
816357,CALGARY,Lakeside Cannabis,"Parmar, Harsimranjit Singh, Mgr
",10/16/2025,1276 68 ST SE,,AB,T2A 7X7,4035402671.0,No ,5.0,94,OPERATIONAL,51.0429311,-113.9345039
783734,CALGARY,Leaf Life,"El-Masri, Ayman, Mgr
",2/23/2022,103-1331 MACLEOD TRAIL SE,,AB,T2G 0K3,5873150344.0,Yes,4.4,48,OPERATIONAL,51.0397906,-114.05887
802493,CALGARY,Leafy Green Inc,"DHILLON, HARVINDER, Mgr
",5/30/2024,4170-235 RED EMBERS WAY NE,,AB,T3N 2G8,4032268808.0,No ,4.4,28,OPERATIONAL,51.1665139,-113.9558642
804386,CALGARY,Level Up Cannabis,"Alain, John, Mgr
",1/7/2025,4022 26 ST SE,,AB,T2B 2Y4,4034550420.0,No ,4.2,26,OPERATIONAL,51.0181436,-113.9984928
778171,CALGARY,Loft Cannabis,"Dhillon, Harminder Singh, Mgr
",1/8/2020,328-2066 18 AVE NE,,AB,T2E 8N5,4037690012.0,No ,4.3,21,OPERATIONAL,51.069473,-114.0116375
783771,CALGARY,Loft Cannabis Market,"Dhillon, Harminder Singh, Mgr
",4/28/2023,117A-817 19 ST NE,,AB,T2E 4X5,4037640011.0,No ,4.3,21,OPERATIONAL,51.0581353,-114.014466
783684,CALGARY,Lux Leaf Cannabis,"Sawicki, Carter Daniel, Mgr
",1/5/2022,234-177 COUNTRY HILLS BOULEVARD NW,,AB,T3K 5M6,5873513992.0,No ,4.7,208,OPERATIONAL,51.1484216,-114.0718375
819779,CALGARY,Lux Leaf Cannabis - Nolan Hill,"Volk, Aaron John Bernerd, Mgr
",2/11/2026,232-8 NOLAN HILL BLVD NW,,AB,T3R 0X2,5873537063.0,No ,4.8,91,OPERATIONAL,51.1720982,-114.1586811
819777,CALGARY,Lux Leaf Cannabis - Savanna,"Volk, Aaron John Bernerd, Mgr
",2/11/2026,1130-30 SAVANNA CRES NE,,AB,T3J 2E9,5872316632.0,No ,4.8,208,OPERATIONAL,51.1329138,-113.9478063
819778,CALGARY,Lux Leaf Cannabis - Taradale,"Volk, Aaron John Bernerd, Mgr
",2/11/2026,312B-7171 80 AVE NE,,AB,T3J 0P6,4034537063.0,No ,4.7,196,OPERATIONAL,51.1246133,-113.9329765
781438,CALGARY,Magic Buds,"Korotane, Jasvir Singh, Mgr
",6/10/2020,2105-19605 WALDEN BLVD SE,,AB,T2X 4E2,4034543060.0,No ,4.2,143,OPERATIONAL,50.8756564,-114.025907
809463,CALGARY,Magic Buds Cranston,"Korotane, Jasvir Singh, Mgr
",7/2/2025,9-90 CRANLEIGH DR SE,,AB,T3M 1J7,8255406565.0,No ,4.1,19,OPERATIONAL,50.893589,-113.9881325
784522,CALGARY,Magic Buds Madigan,"Korotane, Jasvir Singh, Mgr
",7/26/2022,50-6060 MEMORIAL DR NE,,AB,T2A 5Z5,4034756602.0,No ,4.3,92,OPERATIONAL,51.05328369999999,-113.9431312
783631,CALGARY,MH4 Cannabis,"Bawa, Prabhjot Kaur, Mgr
",7/27/2022,2705A CENTRE STREET NW,,AB,T2E 2V5,5873493277.0,No ,4.9,162,OPERATIONAL,51.0765362,-114.0627725
782412,CALGARY,Micro Gold Cannabis,"Gilbert, Beverly Jean, Mgr
",4/14/2021,16760 MCKENZIE LAKE BLVD SE,,AB,T2Z 1W3,5873190455.0,Yes,4.9,80,OPERATIONAL,50.9026662,-113.9902022
786249,CALGARY,Micro Gold Retail Cannabis,"Gilbert, Cameron Reid, Mgr
",1/16/2024,4825 MACLEOD TRAIL SW,,AB,T2G 0A7,8252224777.0,Yes,4.9,80,OPERATIONAL,51.0101937,-114.0676535
786476,CALGARY,Moderna Cannabis Society,"Joseph, Diana Lynn, Mgr
",4/1/2024,155 MAHOGANY CTR SE,,AB,T3M 2V6,4037649270.0,Yes,4.7,125,OPERATIONAL,50.89678989999999,-113.935314
779565,CALGARY,Mount Kushmore,"Aslam, Ahmed, Mgr
",6/17/2020,329 11 AVE NE,,AB,T2E 0Z2,4037171233.0,Yes,4.9,285,OPERATIONAL,51.0622208,-114.0559688
781672,CALGARY,Nirvana Canna,"Kaushik, Puneet, Mgr
",6/15/2020,8-5032 16 AVE NW,,AB,T3B 0N3,4034527111.0,No ,4.8,34,OPERATIONAL,51.0740856,-114.1654738
301932,CALGARY,Northside Growco Inc,,3/24/2023,1338A 36 AVE NE,,AB,T2E 6T6,4034702627.0,No ,4.1,31,OPERATIONAL,51.085788,-114.027756
780844,CALGARY,Oakridge Cannabis,"Stanat, Darryl Thomas, Mgr
",5/7/2020,4-10015 OAKFIELD DR SW,,AB,T2V 1S9,4032120823.0,Yes,4.9,97,OPERATIONAL,50.962208,-114.1329615
780654,CALGARY,Ogden Cannabis,"Sanders, Samuel Robert, Mgr
",3/12/2020,2130 GLENMORE CRT SE,,AB,T2C 2E6,8257128769.0,Yes,4.8,120,OPERATIONAL,50.980996,-113.9961382
784770,CALGARY,Oil & Grass Cannabis,"Wardell, Timothy Clarence, Mgr
",3/1/2023,1715 17 AVE SW,,AB,T2T 0E6,8254140233.0,Yes,4.9,91,OPERATIONAL,51.03770859999999,-114.1012915
779310,CALGARY,Omkara Cannabis,"Bali, Shaveen Chandra, Mgr
",1/29/2020,220-500 ROYAL OAK DR NW,,AB,T3G 0E8,5872261680.0,No ,4.5,63,OPERATIONAL,51.13940419999999,-114.2333888
784395,CALGARY,Pearl Cannabis,"Khosa, Dharmender, Mgr
",7/21/2023,3170R-5850 88 AVE NE,,AB,T3J 0Z7,4036291343.0,No ,4.7,12,OPERATIONAL,51.1335266,-113.951905
783010,CALGARY,Plantlife,"Scott, Ian Hardie, Mgr
",9/2/2021,165-5005 DALHOUSIE DR NW,,AB,T3A 5R8,4034756430.0,No ,4.9,174,OPERATIONAL,51.1060179,-114.1601197
800121,CALGARY,Prairie Records,"Mail, Eli Samuel, Mgr
",4/12/2024,219A 8 AVE SW,,AB,T2P 1B7,5873913634.0,No ,4.4,212,OPERATIONAL,51.0454021,-114.0664228
783886,CALGARY,RARE Cannabis Co.,"Szczebelski, Damian Piotr, Mgr
",5/27/2022,2929 RICHMOND RD SW,,AB,T3E 4N3,4034746018.0,Yes,4.8,303,OPERATIONAL,51.025626,-114.129166
778196,CALGARY,Record High,"Shenner, Aaron James, Mgr
",2/18/2020,1907 20 AVE NW,,AB,T2M 1H6,4034531916.0,Yes,4.8,160,OPERATIONAL,51.0703291,-114.1051558
301529,CALGARY,RGB Group Inc.,,3/18/2021,232 ASPEN HILLS CLOSE SW,,AB,T3H 0C8,4035897919.0,No ,0.0,0,,51.0382217,-114.2213134
301467,CALGARY,Route 1 Purchasing & Distribution Inc.,,5/7/2021,4610 80 STREET NW,,AB,T3B 2P3,4036714335.0,No ,4.8,303,OPERATIONAL,51.0923676,-114.2033776
807452,CALGARY,Smoke and Mirrors,"Ho, Vincent Sil-Phone, Mgr
",5/30/2025,2083 146 AVE SE,,AB,T2J 6C3,4032710998.0,Yes,4.6,9,OPERATIONAL,50.9197213,-114.0148963
817403,CALGARY,Spiritleaf,"Bedi, Ajaydeep Singh, Mgr
",2/27/2026,117-45 GREENBRIAR LANE NW,,AB,T3B 6N4,5873581406.0,No ,4.6,64,OPERATIONAL,51.08797980000001,-114.220847
782319,CALGARY,Spiritleaf - Evanston,"Bedi, Ajaydeep Singh, Mgr
",3/25/2021,1006-2060 SYMONS VALLEY PARKWAY NW,,AB,T3P 0M9,4034753495.0,No ,4.5,83,OPERATIONAL,51.175356,-114.1078819
781649,CALGARY,Spiritleaf - Millrise,"Power, Paul William, Mgr
",2/3/2021,3149-150 MILLRISE BOULEVARD SW,,AB,T2Y 5G7,5873528252.0,No ,4.8,102,OPERATIONAL,50.9140637,-114.0713435
782882,CALGARY,Spiritleaf - Savanna,"Calder, James, Mgr
",8/19/2021,402-9036 46 ST NE,,AB,T3J 2E3,5873526261.0,No ,5.0,40,OPERATIONAL,51.1342059,-113.9654514
783576,CALGARY,Spiritleaf - Seton,"Watt, Kristen Lee, Mgr
",3/31/2022,325-19587 SETON CRES SE,,AB,T3M 2T5,8254079238.0,Yes,4.7,79,OPERATIONAL,50.87923989999999,-113.9598187
778216,CALGARY,Spiritleaf - Stonegate,"Bedi, Ajaydeep Singh, Mgr
",1/25/2019,408-2550 COUNTRY HILLS BLVD NE,,AB,T3N 1E4,4034529843.0,Yes,4.6,64,OPERATIONAL,51.155021,-113.9990622
782401,CALGARY,Spiritleaf - Township,"Parke, Carol-Lynn, Mgr
",5/3/2021,110-20 LONGVIEW COMMON SE,,AB,T2X 4S8,5879567708.0,Yes,4.6,64,OPERATIONAL,50.8641951,-114.0283512
782775,CALGARY,Spiritleaf Centre Street,"Zhang, Shuang, Mgr
",12/27/2021,4-1020 CENTRE STREET NORTH,,AB,T2E 2P9,4034528797.0,No ,4.6,65,OPERATIONAL,51.0612059,-114.0623099
810068,CALGARY,The Kush Spot,"Luthra, Sanjeev, Mgr
",4/1/2025,1711 CENTRE ST NW,,AB,T2E 2S3,7803181804.0,No ,4.9,163,OPERATIONAL,51.0675117,-114.0628124
785098,CALGARY,The Moon Cannabis,"Sapp, Brandon Darrell, Mgr
",11/17/2023,105-3003 37 ST SW,,AB,T3E 3B5,8255401898.0,Yes,4.9,120,OPERATIONAL,51.028698,-114.14155
784584,CALGARY,Tower Cannabis,"Richardson, Robert Terrence, Mgr
",2/3/2023,120-159 CARRINGTON PLAZA NW,,AB,T3P 1Y3,4032746008.0,No ,4.8,80,OPERATIONAL,51.1834602,-114.091646
779064,CALGARY,Tumblweedz,"LaForce, Michelle Denise, Mgr
",12/5/2019,116-2323 32 AVE NE,,AB,T2E 6Z3,5873918299.0,Yes,4.8,86,OPERATIONAL,51.0800951,-114.0056015
783102,CALGARY,Upstairs Cannabis,"Gorham, Megan Laura, Mgr
",7/26/2021,902 11 AVE SE,,AB,T2G 0Z2,8254313357.0,Yes,4.9,83,OPERATIONAL,51.0402912,-114.0415167
785026,CALGARY,Valley Ridge Cannabis,"Yu, Andrew Wesley, Mgr
",4/26/2023,212-11245 VALLEY RIDGE DR NW,,AB,T3B 5V4,4038078890.0,No ,4.7,54,OPERATIONAL,51.0914967,-114.248069
811768,CALGARY,Value Buds - Cornerstone,"Sanderson, Grant Leigh, Mgr
",9/9/2025,260-1155 CORNERSTONE BLVD NE,,AB,T3N 2E9,4037233145.0,No ,4.4,30,OPERATIONAL,51.155219,-113.9386796
814467,CALGARY,Value Buds - Kensington,"Sanderson, Grant Leigh, Mgr
",9/30/2025,1124 KENSINGTON RD NW,,AB,T2N 3P3,5875720741.0,No ,4.4,67,OPERATIONAL,51.0526811,-114.0876619
814468,CALGARY,Value Buds - Varsity,"Sanderson, Grant Leigh, Mgr
",9/30/2025,406-4625 VARSITY DR NW,,AB,T3A 0Z9,5872310243.0,No ,4.6,40,OPERATIONAL,51.0923164,-114.153716
814466,CALGARY,Value Buds at 17th Avenue East,"Sanderson, Grant Leigh, Mgr
",9/30/2025,506 17 AVE SW,,AB,T2S 0B1,5873533260.0,No ,4.5,154,OPERATIONAL,51.037956,-114.0717287
783142,CALGARY,Value Buds at 17th Avenue West,"Sanderson, Grant Leigh, Mgr
",6/3/2021,1206 17 AVE SW,,AB,T2T 0B8,5873528733.0,No ,4.5,154,OPERATIONAL,51.03806549999999,-114.0896486
782915,CALGARY,Value Buds at Beacon Hill,"Sanderson, Grant Leigh, Mgr
",8/10/2021,11662 SARCEE TRAIL NW,,AB,T3R 0A1,4032953502.0,No ,4.3,79,OPERATIONAL,51.15676,-114.1596631
783140,CALGARY,Value Buds at Country Hills,"Sanderson, Grant Leigh, Mgr
",6/3/2021,252-388 COUNTRY HILLS BLVD NE,,AB,T3K 5J6,5873521977.0,No ,4.3,142,OPERATIONAL,51.15557159999999,-114.0650474
778099,CALGARY,Value Buds at Deerfoot City,"Sanderson, Grant Leigh, Mgr
",12/23/2019,B-901 64 AVE NE,,AB,T2E 7P4,4034577175.0,No ,4.1,115,OPERATIONAL,51.1085351,-114.0411677
777943,CALGARY,Value Buds at Deerfoot Meadows,"Sanderson, Grant Leigh, Mgr
",11/13/2019,12-7929 11 ST SE,,AB,T2H 0B8,4034759867.0,No ,4.1,140,OPERATIONAL,50.9837286,-114.0430739
785300,CALGARY,Value Buds at Douglas Glen,"Kiziak, Marcie Catherine, Mgr
",11/24/2023,148-11520 24 ST SE,,AB,T2Z 3E9,5873158689.0,No ,4.1,29,OPERATIONAL,50.9513889,-114.0005556
783258,CALGARY,Value Buds at Forest Lawn,"Sanderson, Grant Leigh, Mgr
",6/15/2021,11-5147 20 AVE SE,,AB,T2B 0B1,4037641420.0,No ,4.2,277,OPERATIONAL,51.03508859999999,-113.9595944
778148,CALGARY,Value Buds at Glenmore Landing,"Sanderson, Grant Leigh, Mgr
",11/1/2019,106A-1600 90 AVE SW,,AB,T2V 5A8,4032513424.0,No ,4.3,74,OPERATIONAL,50.97412449999999,-114.098725
783257,CALGARY,Value Buds at Riverbend,"Sanderson, Grant Leigh, Mgr
",6/15/2021,424-8338 18 ST SE,,AB,T2C 4E4,4034751420.0,No ,4.4,211,OPERATIONAL,50.9779302,-114.014243
777936,CALGARY,Value Buds at Shepard,"Sanderson, Grant Leigh, Mgr
",11/5/2019,535-4916 130 AVE SE,,AB,T2Z 0G4,4037240928.0,No ,3.8,233,OPERATIONAL,50.9331628,-113.9604053
778146,CALGARY,Value Buds at Signal Hill,"Sanderson, Grant Leigh, Mgr
",12/10/2019,5695 SIGNAL HILL CTR SW,,AB,T3H 3P8,4032173581.0,No ,4.5,176,OPERATIONAL,51.0177811,-114.1707856
779726,CALGARY,Value Buds at Strathcona Square,"Sanderson, Grant Leigh, Mgr
",11/21/2019,156-555 STRATHCONA BLVD SW,,AB,T3H 2Z9,5873520757.0,No ,4.2,80,OPERATIONAL,51.0486692,-114.186437
783141,CALGARY,Value Buds at Sunridge,"Sanderson, Grant Leigh, Mgr
",6/9/2021,2111 36 ST NE,,AB,T1Y 5S3,4034571420.0,No ,4.5,202,OPERATIONAL,51.0718367,-113.9826162
783042,CALGARY,Value Buds at TransCanada,"Sanderson, Grant Leigh, Mgr
",10/27/2021,174-1440 52 ST NE,,AB,T2A 4T8,4032733857.0,No ,4.2,68,OPERATIONAL,51.0638089,-113.9559022
777938,CALGARY,Value Buds at Willow Park,"Sanderson, Grant Leigh, Mgr
",10/17/2018,B252-10816 MACLEOD TRAIL SE,,AB,T2J 5N8,4034556290.0,No ,4.3,328,OPERATIONAL,50.9567673,-114.0688642
783259,CALGARY,Value Buds at Woodbine,"Sanderson, Grant Leigh, Mgr
",6/15/2021,206-2525 WOODVIEW DR SW,,AB,T2W 4N4,5873511977.0,No ,4.3,99,OPERATIONAL,50.9408572,-114.1214483
778082,CALGARY,Vincanna Cannabis,"Vining, Jaskaranjit Singh, Mgr
",7/29/2019,B108-3709 26 AVE NE,,AB,T1Y 4S3,5873529333.0,Yes,4.9,46,OPERATIONAL,51.0774609,-113.9806106
